subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
sci	SC12	地学	流水によって海まで運ばれた土砂のうち、最も沖合の遠くまで運ばれてから積もるものはどれ？	"[""小石（れき）"", ""砂"", ""泥（粘土）"", ""火山灰""]"	2	泥（粘土）	粒が小さくて軽い「泥」は、水中に沈むまでの時間が長いため、流れに乗って最も遠い沖合まで運ばれます。	easy
sci	SC12	地学	地層の中で「泥」が「砂」よりも遠い場所に堆積する主な理由は何？	"[""粒が大きく重いため"", ""粒が小さく軽いため"", ""水に溶けやすいため"", ""生物の死骸が含まれるため""]"	1	粒が小さく軽いため	粒が小さくて軽いほど、水の中を漂う時間が長くなり、海岸から離れた遠い場所まで運ばれてから堆積します。	normal
sci	SC12	地学	水中に土砂が流れ込んで1つの層ができるとき、一般的に一番下に積もるのはどの粒？	"[""泥"", ""砂"", ""小石（れき）"", ""火山灰""]"	2	小石（れき）	重い粒ほど早く沈むため、1つの堆積サイクルでは下から「小石→砂→泥」の順に重なります。	normal
sci	SC12	地学	1つの地層の断面を観察したとき、下から上に向かって粒の大きさはどう変化していることが多い？	"[""大きい粒から小さい粒へ"", ""小さい粒から大きい粒へ"", ""すべて同じ大きさ"", ""規則性はない""]"	0	大きい粒から小さい粒へ	水中に流れ込んだ土砂は、重くて大きい「れき（小石）」から順に沈み、最後に「泥」が積もるためです。	normal
sci	SC12	地学	地殻変動などによって、海面に対して土地が下がる現象を何という？	"[""隆起"", ""沈降"", ""浸食"", ""堆積""]"	1	沈降	土地が上がることを「隆起」、下がることを「沈降」といいます。沈降すると海が陸地に入り込みます。	easy
sci	SC12	地学	土地が「沈降」した結果、相対的に海水面が上がってできる、複雑に入り組んだ海岸地形を何という？	"[""砂浜海岸"", ""カルデラ"", ""リアス海岸"", ""海岸段丘""]"	2	リアス海岸	山地の谷の部分に海水が入り込むことで、ノコギリの刃のような複雑な海岸線（リアス海岸）が作られます。	normal
sci	SC12	地学	リアス海岸が形成される主な原因として正しいものはどれ？	"[""土地の隆起"", ""土地の沈降"", ""火山の噴火"", ""川による土砂の堆積""]"	1	土地の沈降	土地が沈む（沈降する）ことで、もともと陸地だった谷の部分に海が入り込んで複雑な地形になります。	normal
sci	SC12	地学	地層が連続して重ならず、一度陸上で削られた（侵食された）跡があるような重なり方を何という？	"[""整合"", ""不整合"", ""断層"", ""しゅう曲""]"	1	不整合	一度陸地になって削られた後に再び沈んで地層が積もると、上下の層が連続しない「不整合」になります。	normal
sci	SC12	地学	地層の重なりにおいて、水中で連続して堆積した関係を何という？	"[""整合"", ""不整合"", ""鍵層"", ""地向斜""]"	0	整合	途切れることなく連続して地層が積もっている状態を「整合」といいます。	hard
sci	SC12	地学	地層が堆積した「時代（地質年代）」を知る手がかりになる化石を何という？	"[""示相化石"", ""示準化石"", ""生痕化石"", ""遺体化石""]"	1	示準化石	特定の短い期間に広い範囲で栄えた生物の化石を「示準化石」といい、時代の判定に使われます。	easy
sci	SC12	地学	地層が堆積した当時の「環境」を知る手がかりになる化石を何という？	"[""示相化石"", ""示準化石"", ""生痕化石"", ""微化石""]"	0	示相化石	サンゴやアサリのように、特定の環境に住む生物の化石を「示相化石」といい、当時の環境を推定できます。	easy
sci	SC12	地学	「示準化石」として適している生物の特徴は、「限られた短い期間に栄えたこと」ともう一つは何？	"[""特定の狭い場所にだけ住んでいた"", ""広い範囲に分布していた"", ""体が非常に大きかった"", ""現在も生き残っている""]"	1	広い範囲に分布していた	「短い期間」かつ「広い範囲」にいた生物の化石が見つかれば、世界中の地層の時代を特定しやすくなります。	normal
