subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
jp	JP02	文法・言葉のきまり	「清」と「潔」のように、似た意味の漢字を重ねてできている熟語はどれ？	"[""清潔"",""細大"",""給食"",""頭痛""]"	0	清潔	「清」も「潔」も「よごれていない」という意味です。似た意味を重ねて強調しています。	easy
jp	JP02	文法・言葉のきまり	二字熟語「清潔」の組み立てとして正しいものはどれ？	"[""似た意味の漢字を重ねた"",""反対の意味の字を組み合わせた"",""上の字が下の字を修飾している"",""下の字が上の字の目的語になっている""]"	0	似た意味の漢字を重ねた	「清」と「潔」はどちらも「きれい」という意味を持つ、似た意味の組み合わせです。	easy
jp	JP02	文法・言葉のきまり	「細（こまかい）」と「大（大きい）」のように、反対の意味の漢字を組み合わせた熟語はどれ？	"[""細大"",""善良"",""永住"",""決心""]"	0	細大	対照的な意味を持つ漢字を組み合わせた熟語です。「すべて」という意味になります。	easy
jp	JP02	文法・言葉のきまり	二字熟語「細大」の組み立てとして正しいものはどれ？	"[""反対の意味の字を組み合わせた"",""似た意味の漢字を重ねた"",""上の字が主語、下の字が述語"",""下の字が上の字の目的語になっている""]"	0	反対の意味の字を組み合わせた	「こまかい」と「大きい」という、反対の意味の漢字を組み合わせています。	easy
jp	JP02	文法・言葉のきまり	「食事を支給する」というように、下の字が上の字の目的語（〜を…する）になっている熟語はどれ？	"[""給食"",""頭痛"",""洋画"",""清潔""]"	0	給食	「食（食事）」を「給（支給する）」という、動作とその対象の関係です。	normal
jp	JP02	文法・言葉のきまり	二字熟語「給食」の組み立てとして正しいものはどれ？	"[""下の字が上の字の目的語になっている"",""上の字が主語、下の字が述語になっている"",""上の字が下の字を詳しく説明している"",""似た意味の漢字を重ねた""]"	0	下の字が上の字の目的語になっている	「食事を支給する」という「〜を…する」の関係（目的語）で成立しています。	normal
jp	JP02	文法・言葉のきまり	「頭が痛い」というように、上の字が主語、下の字が述語の関係にある熟語はどれ？	"[""頭痛"",""決心"",""洋画"",""今昔""]"	0	頭痛	「頭（主語）」が「痛い（述語）」という、主述の関係でできています。	normal
jp	JP02	文法・言葉のきまり	二字熟語「頭痛」の組み立てとして正しいものはどれ？	"[""上の字が主語、下の字が述語になっている"",""下の字が上の字の目的語になっている"",""上の字が下の字を修飾している"",""反対の意味の字を組み合わせた""]"	0	上の字が主語、下の字が述語になっている	「頭が痛い」という、日本語の主語と述語の関係と同じ組み立てです。	normal
jp	JP02	文法・言葉のきまり	「西洋の絵画」というように、上の字が下の字を詳しく説明（修飾）している熟語はどれ？	"[""洋画"",""授受"",""着席"",""県営""]"	0	洋画	「洋（西洋の）」が「画（絵画）」を詳しく説明し、範囲を限定しています。	normal
jp	JP02	文法・言葉のきまり	二字熟語「洋画」の組み立てとして正しいものはどれ？	"[""上の字が下の字を修飾している"",""下の字が上の字の目的語になっている"",""上の字が主語、下の字が述語になっている"",""似た意味の漢字を重ねた""]"	0	上の字が下の字を修飾している	「どんな画か」を上の「洋」が詳しく説明（修飾）しています。	normal
